date,ticker,marketCap,size_category,Total Cash From Operating Activities,Net Income,Depreciation And Amortization,Change In Working Capital,Total Revenue,Gross Profit,Operating Income,Total Assets,Accounts Receivable,Inventory,Accounts Payable
2025-03-31,ALB,10367865856,Large-Cap,,41348000.0,161754000.0,-21992000.0,1076881000.0,156299000.0,18698000.0,16999258000.0,670775000.0,1656365000.0,917954000.0
2025-06-30,ALB,10367865856,Large-Cap,,22897000.0,168731000.0,243260000.0,1329992000.0,196876000.0,51975000.0,17291927000.0,766433000.0,1640925000.0,858781000.0
2023-12-31,ALGN,9147055104,Mid-Cap,,,,,,,,,,,
2024-03-31,ALGN,9147055104,Mid-Cap,,,,,,,,,,,
2024-06-30,ALGN,9147055104,Mid-Cap,,96564000.0,36166000.0,-25554000.0,1028490000.0,722628000.0,178173000.0,6158324000.0,1020135000.0,259492000.0,105792000.0
2024-09-30,ALGN,9147055104,Mid-Cap,,115963000.0,37793000.0,38676000.0,977872000.0,681774000.0,162364000.0,6365974000.0,1010601000.0,254119000.0,109035000.0
2024-12-31,ALGN,9147055104,Mid-Cap,,103807000.0,38129000.0,87843000.0,995219000.0,696941000.0,177092000.0,6214600000.0,995685000.0,254287000.0,108693000.0
2025-03-31,ALGN,9147055104,Mid-Cap,,93230000.0,39148000.0,-170789000.0,979262000.0,680108000.0,135278000.0,6102820000.0,1061976000.0,246567000.0,125382000.0
2025-06-30,ALGN,9147055104,Mid-Cap,,124608000.0,40576000.0,-64943000.0,1012449000.0,708117000.0,163033000.0,6219094000.0,1116210000.0,243750000.0,114434000.0
2023-12-31,ALK,5866995712,Mid-Cap,,,,,,,,,,,
2024-03-31,ALK,5866995712,Mid-Cap,,,,,,,,,,,
2024-06-30,ALK,5866995712,Mid-Cap,,220000000.0,128000000.0,237000000.0,2897000000.0,738000000.0,468000000.0,15342000000.0,370000000.0,106000000.0,203000000.0
2024-09-30,ALK,5866995712,Mid-Cap,,236000000.0,139000000.0,-79000000.0,3072000000.0,699000000.0,415000000.0,19559000000.0,510000000.0,202000000.0,242000000.0
2024-12-31,ALK,5866995712,Mid-Cap,,71000000.0,190000000.0,79000000.0,3534000000.0,531000000.0,164000000.0,19768000000.0,558000000.0,199000000.0,186000000.0
2025-03-31,ALK,5866995712,Mid-Cap,,-166000000.0,194000000.0,359000000.0,3137000000.0,255000000.0,-106000000.0,19818000000.0,569000000.0,206000000.0,237000000.0
2025-06-30,ALK,5866995712,Mid-Cap,,172000000.0,199000000.0,15000000.0,3704000000.0,685000000.0,333000000.0,19885000000.0,737000000.0,218000000.0,240000000.0
2023-12-31,ALL,56063393792,Large-Cap,,,,,,,,,,,
2024-03-31,ALL,56063393792,Large-Cap,,,,,,,,,,,
2024-06-30,ALL,56063393792,Large-Cap,,331000000.0,132000000.0,1786000000.0,15624000000.0,,,108368000000.0,19492000000.0,,
2024-09-30,ALL,56063393792,Large-Cap,,1190000000.0,140000000.0,2114000000.0,16497000000.0,,,113743000000.0,20054000000.0,,
